City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
ostrovnoy,68.0531,39.5131,44.89,83,100,19.15
mahebourg,-20.4081,57.7,73.26,72,0,10.2
qaanaaq,77.484,-69.3632,33.22,89,100,2.35
zhuhai,22.2769,113.5678,80.78,89,40,12.17
cape town,-33.9258,18.4232,57.7,92,54,1.99
atuona,-9.8,-139.0333,78.85,68,36,11.83
flinders,-34.5833,150.8552,45.09,85,24,1.01
opuwo,-18.0607,13.84,76.77,16,72,7.99
tiksi,71.6872,128.8694,34.57,89,9,2.35
pushkinskiye gory,57.0209,28.9103,57.27,55,100,3.09
aykhal,66.0,111.5,51.76,46,73,12.48
castro,-24.7911,-50.0119,57.42,97,100,2.39
avarua,-21.2078,-159.775,66.25,82,70,3.44
saskylakh,71.9167,114.0833,47.89,66,76,12.77
constitucion,-35.3333,-72.4167,62.49,83,89,5.46
albany,42.6001,-73.9662,53.42,82,100,7.0
vilyuysk,63.7553,121.6247,51.13,48,19,1.57
ushuaia,-54.8,-68.3,31.66,86,75,5.75
bambous virieux,-20.3428,57.7575,73.22,72,1,10.45
kodinsk,58.6881,99.1844,44.58,68,2,2.68
teknaf,20.8624,92.3058,82.17,84,100,5.59
busselton,-33.65,115.3333,51.08,85,98,5.86
ambon,-3.6954,128.1814,77.14,88,40,10.36
maragogi,-9.0122,-35.2225,81.64,72,20,7.74
fallon,39.4735,-118.7774,73.42,19,1,3.44
kantang,7.4054,99.5156,80.11,83,100,1.57
colonelganj,27.1333,81.7,93.16,38,50,1.92
punta arenas,-53.15,-70.9167,32.11,74,0,3.47
rikitea,-23.1203,-134.9692,73.99,66,0,13.35
new norfolk,-42.7826,147.0587,42.76,82,100,1.01
gobabis,-22.45,18.9667,66.65,20,0,8.7
qingdao,36.0986,120.3719,71.2,64,20,3.42
port hardy,50.6996,-127.4199,59.18,94,90,2.3
arman,59.7,150.1667,35.98,99,100,4.05
mamakan,57.8161,114.0028,40.86,97,92,1.74
bethel,41.3712,-73.414,55.44,79,90,1.99
clinton,42.587,-82.9199,69.31,40,1,1.99
varhaug,58.6147,5.6457,61.63,69,6,14.36
ayan,56.45,138.1667,38.08,95,90,5.28
mayor pablo lagerenza,-19.9309,-60.7718,68.59,57,86,2.51
hermanus,-34.4187,19.2345,55.8,77,58,8.59
torbay,47.6666,-52.7314,53.1,54,67,14.34
yellowknife,62.456,-114.3525,49.32,54,99,5.01
kruisfontein,-34.0033,24.7314,55.89,76,99,12.59
puerto ayora,-0.7393,-90.3518,75.54,85,83,7.0
rosita,13.9268,-84.4032,89.85,44,76,4.09
beloha,-25.1667,45.05,67.01,68,91,11.5
port elizabeth,-33.918,25.5701,58.1,73,100,15.75
port alfred,-33.5906,26.891,61.9,71,100,10.02
garchitorena,13.8804,123.6946,81.55,84,70,4.18
kodiak,57.79,-152.4072,45.91,87,90,14.97
mar del plata,-38.0023,-57.5575,58.59,34,35,1.01
taybad,34.74,60.7756,93.0,11,0,16.89
cabo san lucas,22.8909,-109.9124,81.86,47,1,6.91
tiarei,-17.5333,-149.3333,71.62,65,36,16.17
khatanga,71.9667,102.5,34.38,99,100,7.25
pisco,-13.7,-76.2167,66.25,82,90,4.61
kolyvan,55.3053,82.7391,67.62,78,21,7.99
hofn,64.2539,-15.2082,46.35,86,64,10.51
bontang,0.1333,117.5,78.69,90,80,6.38
sault sainte marie,46.5168,-84.3333,68.29,42,40,6.91
zhigansk,66.7697,123.3711,53.62,46,67,7.43
thompson,55.7435,-97.8558,61.52,42,97,5.28
pevek,69.7008,170.3133,37.53,66,30,1.1
nanortalik,60.1432,-45.2371,39.15,77,50,11.68
bilibino,68.0546,166.4372,47.95,57,17,2.04
dikson,73.5069,80.5464,30.74,97,100,15.52
hambantota,6.1241,81.1185,81.27,81,76,20.56
beja,36.7256,9.1817,83.62,29,100,11.32
fortuna,40.5982,-124.1573,60.73,72,68,5.5
ponta do sol,32.6667,-17.1,69.39,73,58,2.35
qasigiannguit,68.8193,-51.1922,35.85,89,100,4.41
butaritari,3.0707,172.7902,82.72,76,31,15.93
virginia beach,36.8529,-75.978,66.79,63,20,13.8
hobyo,5.3505,48.5268,79.29,82,88,22.44
saint george,37.1041,-113.5841,81.93,14,1,4.0
pontes e lacerda,-15.2261,-59.3353,84.87,48,99,5.82
khor,47.8861,134.9464,50.54,86,44,2.89
crotone,39.0851,17.1178,60.93,53,95,3.71
baglung,28.2719,83.5898,69.12,85,9,4.76
raglan,-37.8,174.8833,46.49,89,68,7.09
jamestown,42.097,-79.2353,64.38,43,1,4.0
sur,22.5667,59.5289,97.41,28,88,9.8
araouane,18.9048,-3.5265,111.07,5,2,6.02
emerald,-23.5333,148.1667,55.36,93,5,7.16
launceston,-41.45,147.1667,40.71,93,40,4.68
nikolskoye,59.7035,30.7861,53.6,64,100,6.15
ambilobe,-13.2,49.05,73.94,73,7,2.21
cidreira,-30.1811,-50.2056,60.04,40,0,8.72
ternate,0.8,127.4,81.91,78,100,8.77
tarauaca,-8.1614,-70.7656,83.68,72,91,3.31
bella vista,36.4295,-94.2316,62.76,74,1,4.0
xichang,27.8964,102.2634,69.55,83,81,2.82
antioch,36.2066,36.1572,82.22,43,0,12.68
najran,17.4924,44.1277,89.28,10,2,14.76
agirish,61.9247,63.0231,47.26,44,54,4.5
mataura,-46.1927,168.8643,49.48,96,99,1.86
katsuura,35.1333,140.3,65.21,83,53,4.54
shalinskoye,55.7228,93.7594,39.38,82,0,5.41
