,City,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind,Country,Date
0,punta arenas,-53.15,-70.9167,32.11,74,0,7.11,CL,1622656110
1,port hedland,-20.3167,118.5667,69.85,37,94,9.22,AU,1622656134
2,hilo,19.7297,-155.09,76.8,79,90,4.61,US,1622655872
3,nome,64.5011,-165.4064,41.16,56,90,8.05,US,1622656135
4,busselton,-33.65,115.3333,60.21,69,96,2.15,AU,1622656135
5,mataura,-46.1927,168.8643,49.48,97,18,3.22,NZ,1622656135
6,college,64.8569,-147.8028,56.08,74,75,0.0,US,1622656135
7,georgetown,5.4112,100.3354,83.89,87,20,5.01,MY,1622655911
8,cape town,-33.9258,18.4232,62.11,80,20,4.0,ZA,1622656082
9,lagoa,39.05,-27.9833,59.5,59,86,5.26,PT,1622656136
10,bilibino,68.0546,166.4372,54.0,50,19,3.87,RU,1622656136
11,pisco,-13.7,-76.2167,64.02,94,90,4.61,PE,1622656136
12,buchanan,5.8808,-10.0467,80.8,83,98,8.43,LR,1622656137
13,kodiak,57.79,-152.4072,47.71,81,90,6.91,US,1622656137
14,pacific grove,36.6177,-121.9166,78.8,91,75,5.01,US,1622656076
15,yerbogachen,61.2767,108.0108,57.45,54,1,3.33,RU,1622656137
16,yellowknife,62.456,-114.3525,60.33,82,40,3.0,CA,1622655906
17,opuwo,-18.0607,13.84,65.8,26,59,9.33,NA,1622656137
18,ribeira grande,38.5167,-28.7,66.6,48,20,11.5,PT,1622656138
19,arlit,18.7369,7.3853,101.57,7,37,6.35,NE,1622656138
20,bandarbeyla,9.4942,50.8122,82.38,72,97,21.56,SO,1622656138
21,kamina,-8.7386,24.9906,73.83,43,100,2.73,CD,1622656139
22,cidreira,-30.1811,-50.2056,69.03,63,70,11.07,BR,1622656139
23,port elizabeth,-33.918,25.5701,62.89,77,0,20.71,ZA,1622656059
24,san patricio,28.017,-97.5169,88.92,57,99,6.76,US,1622656139
25,chuy,-33.6971,-53.4616,64.09,55,24,12.97,UY,1622656139
26,saldanha,-33.0117,17.9442,60.85,84,66,21.23,ZA,1622656140
27,darhan,49.4867,105.9228,46.67,91,33,6.13,MN,1622656140
28,sola,-13.8833,167.55,79.27,80,94,24.14,VU,1622656140
29,carnarvon,-24.8667,113.6333,57.27,82,73,10.36,AU,1622656140
30,port alfred,-33.5906,26.891,60.62,78,96,15.39,ZA,1622656141
31,tuktoyaktuk,69.4541,-133.0374,33.8,69,75,13.8,CA,1622656141
32,hermanus,-34.4187,19.2345,61.9,82,95,13.13,ZA,1622656141
33,rikitea,-23.1203,-134.9692,71.87,60,98,17.29,PF,1622656142
34,upernavik,72.7868,-56.1549,31.95,81,52,7.27,GL,1622656142
35,bluff,-46.6,168.3333,49.8,81,71,10.4,NZ,1622656142
36,kapaa,22.0752,-159.319,77.47,79,1,1.99,US,1622656142
37,huntsville,34.7304,-86.5861,74.98,88,90,1.01,US,1622656143
38,saskylakh,71.9167,114.0833,34.9,87,100,18.81,RU,1622656143
39,hobart,-42.8794,147.3294,54.27,76,90,3.0,AU,1622655902
40,pingliang,35.5392,106.6861,60.62,23,100,7.27,CN,1622656143
41,khatanga,71.9667,102.5,33.49,84,100,3.74,RU,1622656144
42,tazovskiy,67.4667,78.7,36.81,65,100,5.14,RU,1622656144
43,san policarpo,12.1791,125.5072,78.33,85,83,5.61,PH,1622656144
44,porosozero,62.7191,32.727,58.68,57,29,1.79,RU,1622656145
45,sistranda,63.7256,8.834,60.76,75,69,11.27,NO,1622656145
46,butaritari,3.0707,172.7902,82.65,79,100,15.59,KI,1622656145
47,mehamn,71.0357,27.8492,64.35,42,0,4.61,NO,1622656145
48,atuona,-9.8,-139.0333,79.52,72,45,15.52,PF,1622656079
49,barrow,71.2906,-156.7887,28.42,74,90,17.27,US,1622656146
50,kiama,-34.6833,150.8667,54.57,82,98,4.14,AU,1622656146
51,auki,-8.7676,160.7034,78.03,88,54,3.67,SB,1622656146
52,biloela,-24.4167,150.5,62.42,89,95,4.68,AU,1622656147
53,enkhuizen,52.7,5.2833,79.0,76,89,9.51,NL,1622655976
54,bambous virieux,-20.3428,57.7575,76.21,69,40,18.25,MU,1622656147
55,nioro,13.35,-15.75,100.15,23,21,13.6,GM,1622656147
56,naryan-mar,67.6713,53.087,36.82,73,8,18.01,RU,1622656148
57,valdez,1.2492,-78.9831,78.82,80,80,10.07,EC,1622656148
58,baturite,-4.3286,-38.8847,88.27,48,9,5.86,BR,1622656149
59,eyl,7.9803,49.8164,80.76,75,86,17.81,SO,1622656149
60,constitucion,-35.3333,-72.4167,62.78,70,55,10.71,CL,1622656149
61,esterhazy,50.65,-102.0843,77.85,40,71,14.43,CA,1622656149
62,kaitangata,-46.2817,169.8464,42.17,91,13,6.6,NZ,1622656150
63,husavik,66.0449,-17.3389,53.51,74,98,5.44,IS,1622656150
64,tasiilaq,65.6145,-37.6368,41.16,80,22,6.8,GL,1622656150
65,pangnirtung,66.1451,-65.7125,33.8,93,90,10.36,CA,1622656151
66,bredasdorp,-34.5322,20.0403,58.32,94,95,9.69,ZA,1622656151
67,avarua,-21.2078,-159.775,75.25,73,64,12.66,CK,1622656151
68,pevek,69.7008,170.3133,31.73,74,12,2.95,RU,1622656151
69,luganville,-15.5333,167.1667,75.24,81,100,8.57,VU,1622656152
70,norman wells,65.282,-126.8329,44.64,76,75,10.36,CA,1622656152
71,flinders,-34.5833,150.8552,54.37,83,97,1.01,AU,1622656152
72,mar del plata,-38.0023,-57.5575,57.09,68,40,1.01,AR,1622656073
73,krasnyy oktyabr,56.1167,38.8833,50.56,79,68,6.38,RU,1622656153
74,codrington,-38.2667,141.9667,48.42,85,61,7.92,AU,1622656153
75,jalingo,8.8833,11.3667,86.0,55,67,1.79,NG,1622656153
76,poya,-21.35,165.15,69.03,59,59,3.33,NC,1622656153
77,vila,42.0304,-8.1588,60.75,84,100,3.74,PT,1622656154
78,jamestown,42.097,-79.2353,69.51,49,1,9.22,US,1622656154
79,naze,28.3667,129.4833,73.2,88,100,11.86,JP,1622656154
80,tuatapere,-46.1333,167.6833,49.82,89,30,5.26,NZ,1622656155
81,bagdarin,54.4333,113.6,50.41,84,99,2.66,RU,1622656155
82,hithadhoo,-0.6,73.0833,83.82,68,71,17.25,MV,1622656155
83,muroto,33.2833,134.15,68.94,87,97,12.21,JP,1622656156
84,vanavara,60.34,102.2797,56.07,51,2,4.72,RU,1622656156
85,severo-kurilsk,50.6789,156.125,39.85,90,25,8.25,RU,1622656156
86,inhambane,-23.865,35.3833,69.15,85,21,3.69,MZ,1622656156
87,lorengau,-2.0226,147.2712,79.41,87,95,4.54,PG,1622656157
88,svetlaya,46.5389,138.3297,48.63,87,98,0.38,RU,1622656157
89,hambantota,6.1241,81.1185,80.06,83,83,15.79,LK,1622656157
90,tadine,-21.55,167.8833,70.11,58,69,7.83,NC,1622656158
91,esperance,-33.8667,121.9,55.24,78,56,7.99,AU,1622656158
92,puerto ayora,-0.7393,-90.3518,78.76,79,66,8.01,EC,1622656158
93,iralaya,15.0,-83.2333,89.69,69,21,9.37,HN,1622656158
94,dikson,73.5069,80.5464,25.54,89,96,5.97,RU,1622656159
95,mahebourg,-20.4081,57.7,76.24,69,40,12.66,MU,1622656159
96,chokurdakh,70.6333,147.9167,60.87,28,64,4.63,RU,1622656159
97,ramhormoz,31.28,49.6035,98.67,8,0,11.68,IR,1622656160
98,east london,-33.0153,27.9116,61.74,82,20,12.66,ZA,1622656047
99,kindia,10.0569,-12.8658,86.4,57,87,4.0,GN,1622656160
100,ushuaia,-54.8,-68.3,35.22,93,20,5.75,AR,1622655912
101,laguna,38.421,-121.4238,99.43,50,1,8.46,US,1622655893
102,qarqin,37.4185,66.0436,94.14,11,1,7.49,AF,1622656161
103,kieta,-6.2167,155.6333,78.85,83,93,4.16,PG,1622656161
104,talnakh,69.4865,88.3972,34.16,91,97,8.39,RU,1622656161
105,vaini,-21.2,-175.2,68.16,88,20,2.3,TO,1622656161
106,sobolevo,54.4299,31.8996,53.67,77,38,8.75,RU,1622656162
107,porto belo,-27.1578,-48.5531,80.89,63,37,8.19,BR,1622656162
